,0
30735,9
6789,9
21529,9
31848,9
2387,9
26360,9
844,9
23253,9
18844,9
1260,9
31869,37
28993,37
19725,37
27705,37
23548,37
32776,37
30931,37
21926,37
32279,37
19469,37
29945,25
30645,25
38459,25
39442,25
2023,25
10329,25
8921,25
26770,25
3220,25
20185,25
26597,44
36533,44
25428,44
8291,44
40399,44
38766,44
19453,44
15585,44
5347,44
14441,44
34470,60
25659,60
12160,60
248,60
25974,60
37797,60
20648,60
33699,60
39727,60
20738,60
9366,126
1978,126
25623,126
7285,126
4550,126
6899,126
33960,126
28961,126
22643,126
6272,126
18024,86
12783,86
8115,86
21175,86
37625,86
28205,86
2210,86
34,86
25718,86
27264,86
32106,2
18690,2
28368,2
19259,2
38200,2
10536,2
13671,2
25916,2
18188,2
16182,2
21970,31
34391,31
25151,31
4178,31
32852,31
8098,31
11128,31
19181,31
1856,31
6083,31
947,61
23053,61
28401,61
12237,61
14519,61
23289,61
39508,61
13161,61
20596,61
19340,61
14393,10
2948,10
15894,10
12374,10
722,10
16034,10
32384,10
11704,10
39247,10
27620,10
19982,11
37859,11
11604,11
10411,11
2154,11
11437,11
3023,11
26246,11
22062,11
4506,11
9836,19
22585,19
7872,19
2353,19
15027,19
18835,19
161,19
26562,19
37680,19
12572,19
37792,20
17455,20
32836,20
24532,20
16070,20
25675,20
4799,20
40187,20
14649,20
25459,20
4568,0
14172,0
1529,0
25199,0
26429,0
19116,0
23317,0
12121,0
36967,0
6575,0
15675,131
8150,131
38095,131
11047,131
11123,131
31679,131
34842,131
12596,131
11867,131
10765,131
32118,55
7393,55
7092,55
14115,55
165,55
1202,55
39111,55
16687,55
22017,55
6972,55
4487,77
4985,77
37267,77
10633,77
16289,77
7009,77
23479,77
448,77
9629,77
31977,77
24923,35
37481,35
20175,35
32402,35
20147,35
29698,35
22305,35
15597,35
40030,35
6233,35
39904,54
23608,54
19017,54
9866,54
30786,54
36133,54
29328,54
14724,54
7208,54
35623,54
2985,7
39525,7
17815,7
3085,7
19280,7
3875,7
5558,7
2485,7
2365,7
26789,7
13755,51
11936,51
22814,51
33879,51
40016,51
4665,51
11413,51
28656,51
14927,51
7201,51
16986,6
10888,6
23805,6
29192,6
1381,6
13679,6
20903,6
1617,6
25249,6
13000,6
9642,32
38361,32
7903,32
13299,32
25793,32
18368,32
18834,32
32964,32
9335,32
28049,32
37368,83
24234,83
39612,83
14224,83
20777,83
20774,83
17003,83
38056,83
28499,83
1692,83
20496,101
2885,101
15451,101
27501,101
36465,101
939,101
17430,101
28660,101
5085,101
32401,101
36398,78
5633,78
13659,78
17942,78
6173,78
32104,78
9806,78
7131,78
469,78
18066,78
39594,116
3475,116
9015,116
33258,116
35477,116
13204,116
35615,116
33040,116
30694,116
25638,116
34056,30
38696,30
24155,30
12565,30
2255,30
33783,30
38756,30
39059,30
8214,30
29592,30
185,85
26463,85
10856,85
5989,85
20117,85
10335,85
9059,85
36184,85
35590,85
183,85
23089,4
38110,4
16682,4
36894,4
30299,4
30695,4
28225,4
29141,4
17840,4
19836,4
2926,56
15069,56
14170,56
33550,56
19875,56
1363,56
10745,56
19671,56
16702,56
37870,56
15024,81
39899,81
39921,81
23433,81
2682,81
27616,81
25731,81
17158,81
2243,81
3617,81
25674,104
21612,104
16934,104
40457,104
8934,104
21449,104
30996,104
11642,104
19109,104
14744,104
6024,17
8199,17
33025,17
4202,17
36400,17
37989,17
11486,17
8520,17
26777,17
30840,17
2781,79
37422,79
15679,79
33043,79
17630,79
32989,79
39613,79
18290,79
33784,79
6240,79
637,121
35801,121
20598,121
12061,121
18911,121
16996,121
8948,121
25925,121
12742,121
96,121
22595,114
6030,114
30017,114
11819,114
31154,114
28258,114
16105,114
16153,114
7167,114
34463,114
1698,58
36596,58
17700,58
31704,58
29950,58
6208,58
11232,58
2473,58
13191,58
381,58
20447,12
28602,12
17264,12
12789,12
13616,12
1613,12
33568,12
10433,12
21909,12
34805,12
20559,45
7090,45
3777,45
39373,45
6328,45
22805,45
2300,45
39466,45
16181,45
7342,45
24945,74
32508,74
27563,74
39341,74
3800,74
8595,74
8432,74
28430,74
27502,74
34565,74
36170,65
27077,65
13754,65
34861,65
39821,65
21141,65
17062,65
15891,65
6518,65
24526,65
18758,40
23894,40
128,40
38844,40
26367,40
20743,40
17709,40
19169,40
17501,40
12082,40
34966,111
19072,111
19677,111
33480,111
22717,111
24585,111
38309,111
8437,111
37937,111
40451,111
21655,29
17090,29
19189,29
27351,29
4690,29
37347,29
22618,29
12647,29
1369,29
15788,29
38909,53
37823,53
39692,53
34537,53
2839,53
4204,53
20075,53
2794,53
35374,53
29287,53
36953,13
40232,13
9575,13
16187,13
9107,13
32455,13
15142,13
3765,13
21475,13
37046,13
16737,8
16086,8
18856,8
24475,8
28423,8
18259,8
21614,8
29455,8
38248,8
36093,8
20123,41
21235,41
13250,41
22505,41
22163,41
21553,41
19548,41
29150,41
27055,41
37924,41
11653,76
20430,76
24440,76
7785,76
15022,76
19495,76
16219,76
16711,76
36297,76
12141,76
40105,33
5967,33
12668,33
30920,33
34819,33
27521,33
28767,33
32590,33
13784,33
29232,33
34747,70
26036,70
14479,70
7025,70
27051,70
14742,70
4991,70
27643,70
21295,70
33925,70
34021,98
13068,98
14051,98
21517,98
5519,98
32645,98
37922,98
15425,98
31230,98
10029,98
18862,84
38072,84
24188,84
8193,84
38838,84
18416,84
801,84
15323,84
19419,84
19102,84
12287,27
28560,27
3285,27
34865,27
39245,27
7112,27
11195,27
37382,27
20692,27
35982,27
19918,148
11494,148
19287,148
32133,148
26012,148
38999,148
38044,148
17067,148
6823,148
31107,148
37037,14
28284,14
36345,14
37027,14
14113,14
21322,14
29055,14
24912,14
565,14
21878,14
37004,26
17862,26
30730,26
26322,26
34289,26
1766,26
34464,26
35233,26
28628,26
12480,26
39319,132
2324,132
21052,132
32661,132
2411,132
34444,132
23423,132
22923,132
19276,132
38087,132
12000,50
25995,50
3671,50
34156,50
11323,50
24405,50
15173,50
38747,50
37261,50
5830,50
1737,107
2689,107
40243,107
10940,107
30523,107
2321,107
7218,107
36761,107
6051,107
12415,107
12549,138
13167,138
29953,138
34710,138
8575,138
14591,138
10501,138
18352,138
20336,138
25254,138
16144,66
21186,66
18935,66
27148,66
38242,66
16270,66
13977,66
3436,66
31794,66
16117,66
7309,67
16462,67
12476,67
35621,67
10704,67
8570,67
33416,67
9603,67
7163,67
26637,67
8910,28
19663,28
30867,28
13318,28
39274,28
38679,28
17591,28
17544,28
10798,28
28437,28
4910,140
4802,140
11733,140
24041,140
37354,140
32350,140
21491,140
39786,140
11878,140
6001,140
30525,130
21345,130
808,130
18707,130
23136,130
10643,130
6926,130
22560,130
9952,130
5513,130
636,89
12195,89
24379,89
18584,89
33870,89
30099,89
24856,89
25507,89
18284,89
22127,89
40413,23
28402,23
35459,23
3103,23
29161,23
6956,23
33016,23
34823,23
16161,23
27218,23
13077,137
22498,137
39000,137
29007,137
25585,137
13437,137
38952,137
10828,137
30642,137
28025,137
32206,39
27066,39
3544,39
1779,39
11101,39
23087,39
11063,39
36235,39
18252,39
2595,39
7445,119
31980,119
32780,119
35323,119
21996,119
29974,119
17282,119
31349,119
16068,119
14963,119
2225,136
19012,136
17019,136
25868,136
28695,136
7214,136
3339,136
39197,136
28075,136
19522,136
34429,95
20150,95
24636,95
14470,95
12163,95
5027,95
282,95
28711,95
10933,95
31296,95
34438,124
14007,124
25661,124
18847,124
28409,124
2239,124
26971,124
25971,124
274,124
8088,124
5554,92
4579,92
33063,92
21542,92
474,92
34885,92
4530,92
892,92
2838,92
20525,92
6268,87
9691,87
9462,87
4809,87
15610,87
17105,87
36793,87
693,87
5611,87
29481,87
34385,102
30292,102
25322,102
8375,102
22197,102
4998,102
27289,102
31458,102
3650,102
37553,102
27312,34
32793,34
39736,34
14893,34
16391,34
23657,34
33042,34
1717,34
4308,34
23490,34
30962,123
23398,123
10445,123
33354,123
6906,123
9155,123
6102,123
29703,123
17967,123
19736,123
28286,72
29041,72
19306,72
32168,72
28040,72
39136,72
18952,72
16774,72
24876,72
315,72
24112,71
22179,71
30772,71
19314,71
3958,71
14154,71
30893,71
28377,71
15661,71
31492,71
19831,106
5451,106
15055,106
18090,106
36674,106
6706,106
4609,106
4256,106
6866,106
16585,106
37623,46
827,46
28199,46
13890,46
17756,46
34645,46
28306,46
23299,46
23660,46
16834,46
26925,157
23872,157
29326,157
12145,157
26333,157
2146,157
364,157
28866,157
21298,157
10712,157
10327,125
17016,125
19075,125
39615,125
10841,125
39808,125
8663,125
20543,125
24142,125
19157,125
19061,64
1064,64
6712,64
1730,64
5161,64
17316,64
29702,64
40078,64
2041,64
10980,64
34801,145
9060,145
19897,145
24479,145
31105,145
37984,145
34172,145
4714,145
9781,145
31849,145
23417,69
15449,69
28032,69
25470,69
24711,69
19486,69
20558,69
7879,69
9934,69
20907,69
17229,43
2572,43
36644,43
38943,43
33343,43
27835,43
29024,43
23283,43
7700,43
4356,43
33931,99
30554,99
20437,99
6613,99
14351,99
23403,99
23023,99
6154,99
8634,99
1040,99
11005,57
12918,57
7411,57
38485,57
38735,57
36280,57
27439,57
13126,57
15104,57
35798,57
13467,122
5477,122
3010,122
8113,122
24510,122
8263,122
31288,122
1861,122
16594,122
29155,122
9883,94
24473,94
34941,94
22423,94
22181,94
30285,94
30570,94
29405,94
7730,94
37447,94
9723,129
1968,129
11453,129
22246,129
11345,129
15390,129
3146,129
25813,129
17566,129
29159,129
3083,93
23697,93
10820,93
11282,93
11572,93
17668,93
8421,93
5205,93
40114,93
21621,93
11386,52
20314,52
31798,52
37897,52
1569,52
20110,52
37966,52
34263,52
1187,52
12168,52
26870,146
30572,146
6904,146
33090,146
610,146
15778,146
2426,146
8586,146
31384,146
27631,146
16415,141
40214,141
13914,141
14019,141
23716,141
28212,141
27544,141
9033,141
23327,141
8439,141
7272,49
1873,49
31796,49
11737,49
9904,49
20786,49
2222,49
31961,49
20030,49
635,49
13629,82
38278,82
37681,82
7373,82
20879,82
22620,82
1010,82
27686,82
35860,82
17093,82
23999,139
3184,139
686,139
28197,139
17098,139
28655,139
10545,139
7774,139
3943,139
1888,139
33303,42
39417,42
29638,42
30360,42
32804,42
39679,42
26118,42
35537,42
12822,42
10039,42
679,18
33155,18
33478,18
18135,18
35295,18
20654,18
35662,18
26662,18
31379,18
14908,18
11907,113
11894,113
12219,113
37774,113
8915,113
34965,113
37322,113
25989,113
23239,113
7607,113
35788,103
29252,103
4306,103
6858,103
40089,103
21378,103
36151,103
32469,103
36607,103
714,103
12410,36
15715,36
9556,36
8818,36
12967,36
3266,36
33067,36
13845,36
7759,36
33439,36
16430,158
30243,158
11702,158
35512,158
1925,158
3389,158
27152,158
5594,158
39117,158
4210,158
9596,150
23389,150
11477,150
39494,150
10159,150
33304,150
34763,150
13350,150
37099,150
24621,150
7107,134
8033,134
9236,134
26765,134
10459,134
21660,134
2035,134
5579,134
23986,134
38191,134
31391,147
35664,147
7599,147
24564,147
8888,147
12307,147
35796,147
30345,147
32892,147
31773,147
13047,153
19518,153
14852,153
15902,153
21243,153
39445,153
37287,153
10564,153
3772,153
28048,153
34797,120
3476,120
37022,120
30449,120
26152,120
13657,120
9374,120
2711,120
22354,120
8701,120
38316,154
32511,154
35033,154
23482,154
30756,154
19628,154
30417,154
30056,154
18864,154
27136,154
7316,108
6336,108
19793,108
34237,108
13442,108
10550,108
18683,108
1069,108
15667,108
6396,108
3691,155
24010,155
1402,155
27221,155
7807,155
19202,155
39909,155
1114,155
32970,149
33396,149
29905,149
13901,149
35429,149
1853,149
21212,149
22274,149
36259,149
36079,149
29627,47
28516,47
17300,47
1872,47
6444,47
2317,47
26506,47
27211,47
3123,47
34642,47
11796,112
8926,112
38100,112
16725,112
18944,112
30717,112
21676,112
28294,112
16515,112
8192,112
13697,151
1924,151
21484,118
2377,118
11637,110
22967,110
38410,110
25180,110
2568,110
37542,110
19493,110
14306,110
20432,110
27297,110
7421,105
28277,105
15376,105
7066,105
4743,105
36777,105
4245,105
24815,105
39096,105
12622,105
5803,152
26773,152
27237,152
5538,152
39657,152
36307,152
17583,152
40207,152
9471,152
37696,152
12590,128
15700,128
37110,128
32048,128
3097,128
35858,128
19678,128
38878,128
10280,128
4472,128
37526,142
31719,142
3393,142
6155,142
32569,142
10836,142
37140,142
26181,142
35158,142
9293,142
30192,3
15704,3
31041,3
36432,3
35133,3
37871,3
27629,3
3554,3
39981,3
8350,3
27541,133
4938,133
20129,133
39460,144
39326,144
19752,144
24891,144
36911,144
5119,144
23272,144
17169,144
33033,144
19726,144
21170,143
29823,143
21828,143
5250,143
6817,143
23698,143
6137,143
27742,115
15111,115
32046,115
7130,115
22820,115
13140,115
27954,115
20235,115
39799,115
28785,115
15080,156
7962,156
33065,156
35373,156
12808,156
36888,156
25276,96
21271,96
8692,96
23891,96
18821,96
22839,96
13405,96
38942,96
30316,96
36758,96
9086,127
34818,127
8756,127
19846,127
16039,127
13551,127
17329,127
14193,127
13181,127
11506,127
21782,109
18730,109
24637,91
